conditionId	conditionName	changeKeap1_RM	degradRM	prodROS	dose_RM
DCF_100_CTRL_timecourse	DCF_100_CTRL_timecourse	1	degradRM_DCF	prodROS	dose_RM_sc_DCF
DCF_1000_CTRL_timecourse	DCF_1000_CTRL_timecourse	1	degradRM_DCF	prodROS	dose_RM_sc_DCF
DCF_316_CTRL_timecourse	DCF_316_CTRL_timecourse	1	degradRM_DCF	prodROS	dose_RM_sc_DCF
DCF_500_CTRL_timecourse	DCF_500_CTRL_timecourse	1	degradRM_DCF	prodROS	dose_RM_sc_DCF
DEM_10_CTRL_timecourse	DEM_10_CTRL_timecourse	Inf	degradRM_DEM	1	dose_RM_sc
DEM_100_CTRL_timecourse	DEM_100_CTRL_timecourse	Inf	degradRM_DEM	1	dose_RM_sc
DEM_316_CTRL_knockdown	DEM_316_CTRL_knockdown	Inf	degradRM_DEM	1	dose_RM_sc
DEM_316_CTRL_timecourse	DEM_316_CTRL_timecourse	Inf	degradRM_DEM	1	dose_RM_sc
DEM_316_KEAP1_knockdown	DEM_316_KEAP1_knockdown	Inf	degradRM_DEM	1	dose_RM_sc
DEM_316_NRF2_knockdown	DEM_316_NRF2_knockdown	Inf	degradRM_DEM	1	dose_RM_sc
DEM_316_p62_knockdown	DEM_316_p62_knockdown	Inf	degradRM_DEM	1	dose_RM_sc
DEM_561_CTRL_timecourse	DEM_561_CTRL_timecourse	Inf	degradRM_DEM	1	dose_RM_sc
DMSO_0_CTRL_knockdown	DMSO_0_CTRL_knockdown	1	1	1	dose_RM_sc
DMSO_0_CTRL_timecourse	DMSO_0_CTRL_timecourse	1	1	1	dose_RM_sc
DMSO_0_KEAP1_knockdown	DMSO_0_KEAP1_knockdown	1	1	1	dose_RM_sc
DMSO_0_NRF2_knockdown	DMSO_0_NRF2_knockdown	1	1	1	dose_RM_sc
DMSO_0_p62_knockdown	DMSO_0_p62_knockdown	1	1	1	dose_RM_sc
